Respondent_Serial,ID,ReturnCode,IDType,USHOU1,MRK_SMPGRP,MRK_SMPSRC,IISPanelistID,DP_INCOME,DP_GENAGE,DP_EDUCATION_BAN,DP_HISPANIC_BAN,DP_USHHI2_der,usedu3_der,usmar2_der,EMP01_der,USRACE4_der,USRETH3_der,HADD_ZipCode_US,HCAL_REGION1_US,HCAL_REGION1_Label_abbreviation_US,HCAL_REGION1_Label_US,HCAL_Region3_US,HCAL_Region3_Label_US,HCAL_Region2_US,HCAL_Region2_Label_US,HCAL_AGGLO_CODE_US,HCAL_AGGLO_CODE_Label_US,HCAL_MktSize_US,HCAL_MktSize_Label_US,HCAL_STDMKTSIZE_US,HCAL_STDMKTSIZE_Label_US,HCAL_STDREGION_4CODES_US,HCAL_STDREGION_4CODES_Label_US,HCAL_STDREGION_US,HCAL_STDREGION_Label_US,TimeZone_US,Time_Zone_Label_US,NielsenCountySizeCode_US,QMktSize_1_1,QMktSize_2_1,QMktSize_3_1,QMktSize_4_1,QMktSize_5_1,QMktSize_6_1,QMktSize_7_1,QMktSize_8_1,QMktSize_9_1,QMktSize_10_1,QMktSize_11_1,QMktSize_12_1,QMktSize_13_1,QMktSize_14_1,QMktSize_15_1,QMktSize_16_1,QMktSize_17_1,QMktSize_18_1,QMktSize_19_1,QMktSize_20_1,QMktSize_21_1,QMktSize_22_1,QMktSize_23_1,QMktSize_24_1,QMktSize_25_1,QMktSize_26_1,QMktSize_27_1,QMktSize_28_1,QMktSize_29_1,QMktSize_30_1,QMktSize_31_1,QMktSize_32_1,QMktSize_33_1,QMktSize_34_1,QMktSize_35_1,QMktSize_36_1,QMktSize_37_1,QMktSize_38_1,QMktSize_39_1,QMktSize_40_1,QMktSize_41_1,QMktSize_42_1,QMktSize_43_1,QMktSize_44_1,QMktSize_45_1,QMktSize_46_1,QMktSize_47_1,QMktSize_48_1,QMktSize_49_1,QMktSize_50_1,QMktSize_51_1,QMktSize_52_1,QMktSize_53_1,QMktSize_54_1,QMktSize_55_1,QMktSize_56_1,QMktSize_57_1,QMktSize_58_1,QMktSize_59_1,QMktSize_60_1,QMktSize_61_1,QMktSize_62_1,QMktSize_63_1,QMktSize_64_1,QMktSize_65_1,QMktSize_66_1,QMktSize_67_1,QMktSize_68_1,QMktSize_69_1,QMktSize_70_1,QMktSize_71_1,QMktSize_72_1,QMktSize_73_1,QMktSize_74_1,QMktSize_75_1,QMktSize_76_1,QMktSize_77_1,QMktSize_78_1,QMktSize_79_1,QMktSize_80_1,QMktSize_81_1,QMktSize_82_1,QMktSize_83_1,QMktSize_84_1,QMktSize_85_1,QMktSize_86_1,QMktSize_87_1,QMktSize_88_1,QMktSize_89_1,QMktSize_90_1,QMktSize_91_1,QMktSize_92_1,QMktSize_93_1,QMktSize_94_1,QMktSize_95_1,QMktSize_96_1,QMktSize_97_1,QMktSize_98_1,QMktSize_99_1,ZIP_3DIGIT,ZIP_5DIGIT,State_Recoded,USHHI2,DMA,DP_ETHNICITY_BAN,Weightvar,resp_gender,resp_age,resp_age_long,REGION4,US09KID,US09KAB01,US09KAB02,US09KAB03,US09KAB04,US09KAB05,US09KAB06,US09KAB07,US09KAB08,US09KAB09,US09KAB10,US09KAB11,US09KAB12,US09KAB13,US09KAB14,US09KAB15,US09KAB16,US09KAB17,US09KAB18,US09KAB19,US09KAG01,US09KAG02,US09KAG03,US09KAG04,US09KAG05,US09KAG06,US09KAG07,US09KAG08,US09KAG09,US09KAG10,US09KAG11,US09KAG12,US09KAG13,US09KAG14,US09KAG15,US09KAG16,US09KAG17,US09KAG18,US09KAG19,USMAR2,STATE,US09KAB_AG_merged01,US09KAB_AG_merged02,US09KAB_AG_merged03,US09KAB_AG_merged04,US09KAB_AG_merged05,US09KAB_AG_merged06,US09KAB_AG_merged07,US09KAB_AG_merged08,US09KAB_AG_merged09,US09KAB_AG_merged10,US09KAB_AG_merged11,US09KAB_AG_merged12,US09KAB_AG_merged13,US09KAB_AG_merged14,US09KAB_AG_merged15,US09KAB_AG_merged16,US09KAB_AG_merged17,US09KAB_AG_merged18,US09KAB_AG_merged19,Age_pres,GENAGE_der,MRK_STATUS_DYN,MRK_START_TIME_DYN,MRK_END_TIME_DYN,MRK_DIFF_TIME_DYN,QUOTA_DYN,QUOTA_CAN_GENDER_DYN,QUOTA_CAN_AGERANGE_DYN,QUOTA_CAN_REGION_DYN,QUOTA_ROT_DYN1,QUOTA_ROT_DYN2,DYN101,DYN102,DYN103,DYN104,DYN105,DYN106,DYN107,DYN108,DYN109,DYN110,DYN111,DYN112,DYN113,GRID_DYN2_1_DYN2,GRID_DYN2_2_DYN2,GRID_DYN2_3_DYN2,GRID_DYN2_4_DYN2,GRID_DYN2_5_DYN2,GRID_DYN2_6_DYN2,GRID_DYN2_7_DYN2,GRID_DYN2_8_DYN2,GRID_DYN2_9_DYN2,GRID_DYN2_10_DYN2,GRID_DYN2_11_DYN2,GRID_DYN2_12_DYN2,SPLIT_ORDER_DYN2_1_DYN2_ORDER,SPLIT_ORDER_DYN2_2_DYN2_ORDER,SPLIT_ORDER_DYN2_3_DYN2_ORDER,SPLIT_ORDER_DYN2_4_DYN2_ORDER,SPLIT_ORDER_DYN2_5_DYN2_ORDER,SPLIT_ORDER_DYN2_6_DYN2_ORDER,SPLIT_ORDER_DYN2_7_DYN2_ORDER,SPLIT_ORDER_DYN2_8_DYN2_ORDER,SPLIT_ORDER_DYN2_9_DYN2_ORDER,SPLIT_ORDER_DYN2_10_DYN2_ORDER,SPLIT_ORDER_DYN2_11_DYN2_ORDER,SPLIT_ORDER_DYN2_12_DYN2_ORDER,DYN3,MARK_START_TIME_DYN,MARK_END_TIME_DYN,MARK_DIFF_TIME_DYN,Section_Version_DYN,Wavemarker,RACE_wgt,CurrentMonth,CurrentYear,KIDS01,USRACE41,USRACE42,USRACE43,USRACE44,USRACE45,USRACE46,USRACE47,COUNTRY10,INDHH1001,INDHH1002,INDHH1003,INDHH1004,INDHH1005,INDHH1006,INDHH1007,INDHH1008,INDHH1009,INDHH1010,INDHH1011,INDHH1012,INDHH1013,INDHH1014,INDHH1015,INDHH1016,INDHH1017,INDHH1018,INDHH1019,INDHH1020,INDHH1021,INDHH1022,INDHH1023,INDHH1024,INDHH1025,INDHH1026,INDHH1027,INDHH1028,INDHH1029,INDHH1030,INDHH1031,INDHH1032,INDHH1033,INDHH1034,INDHH1035,INDHH1036,USEDU3,USRETH3,PGS01,EMP01,DKIDS01_1_DKIDS01_Gender,DKIDS01_2_DKIDS01_Gender,DKIDS01_3_DKIDS01_Gender,DKIDS01_4_DKIDS01_Gender,DKIDS01_5_DKIDS01_Gender,DKIDS01_6_DKIDS01_Gender,DKIDS01_7_DKIDS01_Gender,DKIDS01_8_DKIDS01_Gender,DKIDS01_9_DKIDS01_Gender,DKIDS01_10_DKIDS01_Gender,DKIDS01_11_DKIDS01_Gender,DKIDS01_12_DKIDS01_Gender,DKIDS01_1_DKIDS01_YoB,DKIDS01_2_DKIDS01_YoB,DKIDS01_3_DKIDS01_YoB,DKIDS01_4_DKIDS01_YoB,DKIDS01_5_DKIDS01_YoB,DKIDS01_6_DKIDS01_YoB,DKIDS01_7_DKIDS01_YoB,DKIDS01_8_DKIDS01_YoB,DKIDS01_9_DKIDS01_YoB,DKIDS01_10_DKIDS01_YoB,DKIDS01_11_DKIDS01_YoB,DKIDS01_12_DKIDS01_YoB,DKIDS01_1_DKIDS01_MoB,DKIDS01_2_DKIDS01_MoB,DKIDS01_3_DKIDS01_MoB,DKIDS01_4_DKIDS01_MoB,DKIDS01_5_DKIDS01_MoB,DKIDS01_6_DKIDS01_MoB,DKIDS01_7_DKIDS01_MoB,DKIDS01_8_DKIDS01_MoB,DKIDS01_9_DKIDS01_MoB,DKIDS01_10_DKIDS01_MoB,DKIDS01_11_DKIDS01_MoB,DKIDS01_12_DKIDS01_MoB,DKIDS01_1_DKIDS01_Rel,DKIDS01_2_DKIDS01_Rel,DKIDS01_3_DKIDS01_Rel,DKIDS01_4_DKIDS01_Rel,DKIDS01_5_DKIDS01_Rel,DKIDS01_6_DKIDS01_Rel,DKIDS01_7_DKIDS01_Rel,DKIDS01_8_DKIDS01_Rel,DKIDS01_9_DKIDS01_Rel,DKIDS01_10_DKIDS01_Rel,DKIDS01_11_DKIDS01_Rel,DKIDS01_12_DKIDS01_Rel
606,C1461646053,9,1,1,1,3,,4,5,4,2,8,4,3,8,3,2,98373,53,48,Washington,53053,PIERCE,819,"Seattle-Tacoma, WA",42660,"Seattle-Tacoma-Bellevue, WA",6,"2,500,000-4,999,999",2,1M-4.9M,4,West,9,Pacific,8,Pacific (GMT -08:00),1,,,,,,,819,,,,,,,,,,,,,,,,98373,,,,,,,,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983,98373,48,17,819,3,1.355718320202734,2,36,36,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,1,,,,1,,,,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,3,2,3,2,4,3,3,2,3,3,4,4,1,1,2,1,1,1,2,1,2,2,2,2,7,13703642159,13703642364,205,3,0,3,1,2017,2,0,0,0,1,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,4,1.0,1.0,,,,,,,,,,,2004.0,2006.0,,,,,,,,,,,11.0,12.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,
610,1140631219,9,1,4,1,2,,5,4,4,2,9,4,1,8,2,2,18702,42,39,Pennsylvania,42079,LUZERNE,577,"Wilkes Barre-Scranton-Hazleton, PA",42540,"Scranton--Wilkes-Barre--Hazleton, PA",4,"500,000-999,999",1,<1M,1,Northeast,2,Middle Atlantic,5,Eastern (GMT -05:00),2,,,,,,,577,,,,,,,,,,,,,,,,18702,,,,,,,,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,18702,39,19,577,2,2.7543025244304906,2,29,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,1,,,,1,,,,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,3,1,3,5,2,3,2,2,2,2,5,5,2,1,2,1,2,1,1,1,2,1,2,2,1,13703648060,13703648838,778,3,0,2,1,2017,1,0,1,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,4,2.0,,,,,,,,,,,,2003.0,,,,,,,,,,,,5.0,,,,,,,,,,,,2.0,,,,,,,,,,,
613,C1461641981,9,1,5,1,3,,4,6,4,1,8,4,2,1,1,1,79924,48,44,Texas,48141,EL PASO,765,"El Paso (Las Cruces), TX-NM",21340,"El Paso, TX",4,"500,000-999,999",1,<1M,3,South,7,West South Central,7,Mountain (GMT -07:00),2,,,,,,,765,,,,,,,,,,,,,,,,79924,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799,79924,44,17,765,1,1.8628986032821004,2,55,55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,1,,,,1,,,,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,5,5,5,5,4,3,3,3,3,3,3,4,1,2,1,2,2,1,2,2,2,1,1,1,7,13703642413,13703643023,610,3,0,5,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,C1461649984,9,1,1,1,3,,2,5,3,2,5,3,3,7,1,2,07013,34,31,New Jersey,34031,PASSAIC,501,"New York, NY",35620,"New York-Newark-Jersey City, NY-NJ-PA",7,"5,000,000 +",3,5M+,1,Northeast,2,Middle Atlantic,5,Eastern (GMT -05:00),1,,,,,,,501,,,,,,,,,,,,,,,,07013,,,,,,,,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,7013,31,8,501,1,0.5694650108785454,2,40,40,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,5,1,,,,1,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,5,3,3,3,3,3,3,3,1,2,2,1,2,1,2,2,2,1,1,1,3,13703642402,13703642604,202,3,0,1,1,2017,2,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,3,6,1.0,2.0,,,,,,,,,,,2003.0,2004.0,,,,,,,,,,,2.0,12.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,
618,1130880832,9,1,4,1,2,,5,4,4,2,9,4,1,5,3,2,97223,41,38,Oregon,41067,WASHINGTON,820,"Portland, OR",38900,"Portland-Vancouver-Hillsboro, OR-WA",5,"1,000,000-2,499,999",2,1M-4.9M,4,West,9,Pacific,8,Pacific (GMT -08:00),1,,,,,,,820,,,,,,,,,,,,,,,,97223,,,,,,,,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972,97223,38,19,820,3,2.15603248520722,2,21,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,1,,,,1,,,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,4,4,6,5,6,6,2,1,1,1,1,1,2,2,2,1,1,2,2,1,2,1,1,1,13703643384,13703643599,215,3,0,3,1,2017,0,0,0,0,1,0,0,0,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,C1461650472,9,1,1,1,3,,3,3,5,2,7,5,3,4,1,2,33835,12,10,Florida,12105,POLK,539,"Tampa-St.Petersburg (Sarasota), FL",29460,"Lakeland-Winter Haven, FL",4,"500,000-999,999",1,<1M,3,South,5,South Atlantic,5,Eastern (GMT -05:00),2,,,,,,,539,,,,,,,,,,,,,,,,33835,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,33835,10,12,539,1,0.7813166471095303,1,59,59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,1,,,,1,,,,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,3,3,3,6,4,3,1,1,1,2,1,2,1,2,1,2,2,1,1,1,1,2,2,2,1,13703642182,13703642347,165,3,0,1,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,C1461650195,9,1,1,1,3,,5,2,7,2,9,7,3,3,1,2,77377,48,44,Texas,48201,HARRIS,618,"Houston, TX",26420,"Houston-The Woodlands-Sugar Land, TX",7,"5,000,000 +",3,5M+,3,South,7,West South Central,6,Central (GMT -06:00),1,,,,,,,618,,,,,,,,,,,,,,,,77377,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773,77377,44,19,618,1,1.1700831161163423,1,39,39,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,1,,,,1,,,,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,3,2,4,3,3,3,3,2,2,2,3,1,2,2,2,1,2,2,1,1,2,1,1,2,13703642878,13703643087,209,3,0,1,1,2017,2,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,1,3,2.0,1.0,,,,,,,,,,,2005.0,2007.0,,,,,,,,,,,3.0,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,
628,C1461650599,9,1,1,1,3,,4,3,4,2,8,4,3,2,1,2,24141,51,47,Virginia,51750,RADFORD,573,"Roanoke-Lynchburg, VA",13980,"Blacksburg-Christiansburg-Radford, VA",2,"100,000-249,999",1,<1M,3,South,5,South Atlantic,5,Eastern (GMT -05:00),3,,,,,,,573,,,,,,,,,,,,,,,,24141,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,24141,47,17,573,1,0.767070680632069,1,64,64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,1,,,,1,,,,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,5,5,5,4,4,3,2,3,3,3,3,1,1,1,1,2,1,1,2,2,2,2,2,5,13703642160,13703642308,148,3,0,1,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,1144302869,9,1,2,1,1,1144302869,4,2,7,2,8,7,3,1,1,2,10031,36,33,New York,36061,NEW YORK,501,"New York, NY",35620,"New York-Newark-Jersey City, NY-NJ-PA",7,"5,000,000 +",3,5M+,1,Northeast,2,Middle Atlantic,5,Eastern (GMT -05:00),1,,,,,,,501,,,,,,,,,,,,,,,,10031,,,,,,,,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,10031,33,18,501,1,0.6604341604494647,1,35,35,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,2,1,,,,1,,,,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1,2,3,1,2,3,3,2,2,2,3,1,2,1,1,2,2,1,1,2,2,1,2,2,13703642356,13703642585,229,3,0,1,1,2017,3,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,1,1,2.0,1.0,1.0,,,,,,,,,,2015.0,2010.0,2003.0,,,,,,,,,,6.0,3.0,3.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
633,1148375335,9,1,3,1,1,1148375335,2,1,4,2,6,4,2,1,1,2,84094,49,45,Utah,49035,SALT LAKE,770,"Salt Lake City, UT",41620,"Salt Lake City, UT",5,"1,000,000-2,499,999",2,1M-4.9M,4,West,8,Mountain,7,Mountain (GMT -07:00),2,,,,,,,770,,,,,,,,,,,,,,,,84094,,,,,,,,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,84094,45,10,770,1,0.8349916934097835,1,29,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,1,,,,1,,,,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,3,3,4,4,3,3,3,3,3,3,3,3,2,1,1,1,2,2,2,2,1,1,1,2,3,13703642604,13703642946,342,3,0,1,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,C1461650612,9,1,3,1,3,,2,1,4,1,5,4,2,5,1,1,33125,12,10,Florida,12086,MIAMI-DADE,528,"Miami-Ft. Lauderdale, FL",33100,"Miami-Fort Lauderdale-West Palm Beach, FL",7,"5,000,000 +",3,5M+,3,South,5,South Atlantic,5,Eastern (GMT -05:00),1,,,,,,,528,,,,,,,,,,,,,,,,33125,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,33125,10,7,528,1,1.8783065125567873,1,32,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,1,,,,1,,,,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,5,4,4,6,2,1,2,1,1,1,2,3,1,1,2,1,2,2,1,1,2,2,2,1,2,13703642220,13703642398,178,3,0,5,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,1144129989,9,1,3,1,2,,2,4,5,2,4,5,2,7,1,2,39565,28,25,Mississippi,28059,JACKSON,746,"Biloxi-Gulfport, MS",25060,"Gulfport-Biloxi-Pascagoula, MS",3,"250,000-499,999",1,<1M,3,South,6,East South Central,6,Central (GMT -06:00),3,,,,,,,746,,,,,,,,,,,,,,,,39565,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,39565,25,6,746,1,0.5787218407964644,2,32,32,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,4,1,,,,1,,,,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,4,3,3,3,2,1,2,1,2,1,1,2,1,2,2,1,9,13703642156,13703642237,81,3,0,1,1,2017,2,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,1,6,1.0,2.0,,,,,,,,,,,2002.0,2009.0,,,,,,,,,,,5.0,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,
649,1101490422,9,1,1,1,1,1101490422,2,3,2,2,5,2,3,4,1,2,85009,4,3,Arizona,04013,MARICOPA,753,"Phoenix (Prescott), AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",6,"2,500,000-4,999,999",2,1M-4.9M,4,West,8,Mountain,7,Mountain (GMT -07:00),1,,,,,,,753,,,,,,,,,,,,,,,,85009,,,,,,,,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,85009,3,7,753,1,0.9455112212688211,1,70,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,1,,,,1,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,4,6,6,6,6,6,3,6,6,5,6,1,1,2,2,1,2,2,1,2,1,1,2,7,13703642977,13703643165,188,3,0,1,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,1002010712,9,1,1,1,2,,2,2,5,2,6,5,1,1,1,2,98374,53,48,Washington,53053,PIERCE,819,"Seattle-Tacoma, WA",42660,"Seattle-Tacoma-Bellevue, WA",6,"2,500,000-4,999,999",2,1M-4.9M,4,West,9,Pacific,8,Pacific (GMT -08:00),1,,,,,,,819,,,,,,,,,,,,,,,,98374,,,,,,,,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983,98374,48,10,819,1,0.8661895121568476,1,53,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,1,,,,1,,,,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,4,3,6,6,3,2,5,2,2,2,2,4,2,1,2,2,2,1,1,1,1,1,2,2,3,13703644141,13703644721,580,3,0,1,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
